city,state,2018_estimate,2010_census,change,2016_land_area1,2016_land_area2,2016_pop_den1,2016_pop_den2,loc
Huntington Beach, California,"200,641","189,992",+5.60%,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2",33°41′26″N 118°00′33″W﻿ / ﻿33.6906°N 118.0093°W﻿ / 33.6906; -118.0093﻿ (Huntington Beach)
Salt Lake City, Utah,"200,591","186,440",+7.59%,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2,40°46′37″N 111°55′52″W﻿ / ﻿40.7769°N 111.9310°W﻿ / 40.7769; -111.9310﻿ (Salt Lake City)
Grand Rapids, Michigan,"200,217","188,040",+6.48%,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2",42°57′40″N 85°39′20″W﻿ / ﻿42.9612°N 85.6556°W﻿ / 42.9612; -85.6556﻿ (Grand Rapids)
Amarillo, Texas,"199,924","190,695",+4.84%,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,35°12′00″N 101°49′49″W﻿ / ﻿35.1999°N 101.8302°W﻿ / 35.1999; -101.8302﻿ (Amarillo)
Yonkers, New York,"199,663","195,976",+1.88%,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2",40°56′45″N 73°52′03″W﻿ / ﻿40.9459°N 73.8674°W﻿ / 40.9459; -73.8674﻿ (Yonkers)
Aurora, Illinois,"199,602","197,899",+0.86%,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2",41°45′49″N 88°17′24″W﻿ / ﻿41.7635°N 88.2901°W﻿ / 41.7635; -88.2901﻿ (Aurora)
Montgomery, Alabama,"198,218","205,764",−3.67%,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2,32°20′50″N 86°15′58″W﻿ / ﻿32.3472°N 86.2661°W﻿ / 32.3472; -86.2661﻿ (Montgomery)
Akron, Ohio,"198,006","199,110",−0.55%,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2",41°04′50″N 81°31′17″W﻿ / ﻿41.0805°N 81.5214°W﻿ / 41.0805; -81.5214﻿ (Akron)
Little Rock, Arkansas,"197,881","193,524",+2.25%,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2,34°43′31″N 92°21′31″W﻿ / ﻿34.7254°N 92.3586°W﻿ / 34.7254; -92.3586﻿ (Little Rock)
Huntsville, Alabama,"197,318","180,105",+9.56%,213.4 sq mi,552.7 km2,905/sq mi,349/km2,34°41′56″N 86°40′23″W﻿ / ﻿34.6990°N 86.6730°W﻿ / 34.6990; -86.6730﻿ (Huntsville)
Augusta, Georgia,"196,939","195,844",+0.56%,302.5 sq mi,783.5 km2,652/sq mi,252/km2,33°21′56″N 82°04′24″W﻿ / ﻿33.3655°N 82.0734°W﻿ / 33.3655; -82.0734﻿ (Augusta)
Port St. Lucie, Florida,"195,248","164,603",+18.62%,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2,27°16′50″N 80°23′18″W﻿ / ﻿27.2806°N 80.3883°W﻿ / 27.2806; -80.3883﻿ (Port St. Lucie)
Grand Prairie, Texas,"194,614","175,396",+10.96%,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2",32°41′13″N 97°01′16″W﻿ / ﻿32.6869°N 97.0211°W﻿ / 32.6869; -97.0211﻿ (Grand Prairie)
Columbus, Georgia,"194,160","189,885",+2.25%,216.4 sq mi,560.5 km2,913/sq mi,353/km2,32°30′37″N 84°52′30″W﻿ / ﻿32.5102°N 84.8749°W﻿ / 32.5102; -84.8749﻿ (Columbus)
Tallahassee, Florida,"193,551","181,376",+6.71%,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2,30°27′18″N 84°15′12″W﻿ / ﻿30.4551°N 84.2534°W﻿ / 30.4551; -84.2534﻿ (Tallahassee)
Overland Park, Kansas,"192,536","173,372",+11.05%,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2,38°53′20″N 94°41′26″W﻿ / ﻿38.8890°N 94.6906°W﻿ / 38.8890; -94.6906﻿ (Overland Park)
Tempe, Arizona,"192,364","161,719",+18.95%,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2",33°23′18″N 111°55′54″W﻿ / ﻿33.3884°N 111.9318°W﻿ / 33.3884; -111.9318﻿ (Tempe)
McKinney, Texas,"191,645","131,117",+46.16%,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2",33°11′55″N 96°40′05″W﻿ / ﻿33.1985°N 96.6680°W﻿ / 33.1985; -96.6680﻿ (McKinney)
Mobile, Alabama,"189,572","195,111",−2.84%,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2,30°40′06″N 88°06′01″W﻿ / ﻿30.6684°N 88.1002°W﻿ / 30.6684; -88.1002﻿ (Mobile)
Cape Coral, Florida,"189,343","154,305",+22.71%,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2,26°38′36″N 81°59′51″W﻿ / ﻿26.6432°N 81.9974°W﻿ / 26.6432; -81.9974﻿ (Cape Coral)
Shreveport, Louisiana,"188,987","199,311",−5.18%,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2,32°28′01″N 93°47′32″W﻿ / ﻿32.4669°N 93.7922°W﻿ / 32.4669; -93.7922﻿ (Shreveport)
Frisco, Texas,"188,170","116,989",+60.84%,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2,33°09′19″N 96°49′21″W﻿ / ﻿33.1554°N 96.8226°W﻿ / 33.1554; -96.8226﻿ (Frisco)
Knoxville, Tennessee,"187,500","178,874",+4.82%,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2,35°58′15″N 83°56′57″W﻿ / ﻿35.9707°N 83.9493°W﻿ / 35.9707; -83.9493﻿ (Knoxville)
Worcester, Massachusetts,"185,877","181,045",+2.67%,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2",42°16′10″N 71°48′28″W﻿ / ﻿42.2695°N 71.8078°W﻿ / 42.2695; -71.8078﻿ (Worcester)
Brownsville, Texas,"183,392","175,023",+4.78%,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2,25°59′57″N 97°27′18″W﻿ / ﻿25.9991°N 97.4550°W﻿ / 25.9991; -97.4550﻿ (Brownsville)
Vancouver, Washington,"183,012","161,791",+13.12%,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2",45°38′06″N 122°35′45″W﻿ / ﻿45.6349°N 122.5957°W﻿ / 45.6349; -122.5957﻿ (Vancouver)
Fort Lauderdale, Florida,"182,595","165,521",+10.32%,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2",26°08′28″N 80°08′48″W﻿ / ﻿26.1412°N 80.1467°W﻿ / 26.1412; -80.1467﻿ (Fort Lauderdale)
Sioux Falls, South Dakota,"181,883","153,888",+18.19%,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2,43°32′18″N 96°43′55″W﻿ / ﻿43.5383°N 96.7320°W﻿ / 43.5383; -96.7320﻿ (Sioux Falls)
Ontario, California,"181,107","163,924",+10.48%,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2",34°02′22″N 117°36′15″W﻿ / ﻿34.0394°N 117.6042°W﻿ / 34.0394; -117.6042﻿ (Ontario)
Chattanooga, Tennessee,"180,557","167,674",+7.68%,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,35°03′58″N 85°14′54″W﻿ / ﻿35.0660°N 85.2484°W﻿ / 35.0660; -85.2484﻿ (Chattanooga)
Providence, Rhode Island,"179,335","178,042",+0.73%,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",41°49′23″N 71°25′08″W﻿ / ﻿41.8231°N 71.4188°W﻿ / 41.8231; -71.4188﻿ (Providence)
Newport News, Virginia,"178,626","180,719",−1.16%,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",37°04′34″N 76°31′19″W﻿ / ﻿37.0762°N 76.5220°W﻿ / 37.0762; -76.5220﻿ (Newport News)
Rancho Cucamonga, California,"177,751","165,269",+7.55%,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",34°07′24″N 117°33′51″W﻿ / ﻿34.1233°N 117.5642°W﻿ / 34.1233; -117.5642﻿ (Rancho Cucamonga)
Santa Rosa, California,"177,586","167,815",+5.82%,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W﻿ / 38.4468; -122.7061﻿ (Santa Rosa)
Oceanside, California,"176,080","167,086",+5.38%,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2",33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W﻿ / 33.2245; -117.3062﻿ (Oceanside)
Salem, Oregon,"173,442","154,637",+12.16%,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2",44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W﻿ / 44.9237; -123.0232﻿ (Salem)
Elk Grove, California,"172,886","153,015",+12.99%,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2",38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W﻿ / 38.4146; -121.3850﻿ (Elk Grove)
Garden Grove, California,"172,646","170,883",+1.03%,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2",33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W﻿ / 33.7788; -117.9605﻿ (Garden Grove)
Pembroke Pines, Florida,"172,374","154,019",+11.92%,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2",26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W﻿ / 26.0210; -80.3404﻿ (Pembroke Pines)
Peoria, Arizona,"172,259","154,065",+11.81%,175.7 sq mi,455.1 km2,934/sq mi,361/km2,33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W﻿ / 33.7862; -112.3080﻿ (Peoria)
Eugene, Oregon,"171,245","156,185",+9.64%,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W﻿ / 44.0567; -123.1162﻿ (Eugene)
Corona, California,"168,819","152,374",+10.79%,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W﻿ / 33.8620; -117.5655﻿ (Corona)
Cary, North Carolina,"168,160","135,234",+24.35%,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W﻿ / 35.7809; -78.8133﻿ (Cary)
Springfield, Missouri,"168,122","159,498",+5.41%,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W﻿ / 37.1942; -93.2913﻿ (Springfield)
Fort Collins, Colorado,"167,830","143,986",+16.56%,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W﻿ / 40.5482; -105.0648﻿ (Fort Collins)
Jackson, Mississippi,"164,422","173,514",−5.24%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W﻿ / 32.3158; -90.2128﻿ (Jackson)
Alexandria, Virginia,"160,530","139,966",+14.69%,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W﻿ / 38.8201; -77.0841﻿ (Alexandria)
Hayward, California,"159,620","144,186",+10.70%,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W﻿ / 37.6287; -122.1024﻿ (Hayward)
Lancaster, California,"159,053","156,633",+1.55%,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W﻿ / 34.6936; -118.1753﻿ (Lancaster)
Lakewood, Colorado,"156,798","142,980",+9.66%,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W﻿ / 39.6989; -105.1176﻿ (Lakewood)
Clarksville, Tennessee,"156,794","132,929",+17.95%,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ / 36.5664; -87.3452﻿ (Clarksville)
Palmdale, California,"156,667","152,750",+2.56%,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ / 34.5910; -118.1054﻿ (Palmdale)
Salinas, California,"156,259","150,441",+3.87%,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ / 36.6902; -121.6337﻿ (Salinas)
Springfield, Massachusetts,"155,032","153,060",+1.29%,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ / 42.1155; -72.5400﻿ (Springfield)
Hollywood, Florida,"154,823","140,768",+9.98%,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ / 26.0310; -80.1646﻿ (Hollywood)
Pasadena, Texas,"153,219","149,043",+2.80%,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ / 29.6586; -95.1506﻿ (Pasadena)
Sunnyvale, California,"153,185","140,081",+9.35%,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ / 37.3858; -122.0263﻿ (Sunnyvale)
Macon, Georgia,"153,095","91,351",+67.59%,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ / 32.8088; -83.6942﻿ (Macon)
Kansas City, Kansas,"152,958","145,786",+4.92%,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ / 39.1225; -94.7418﻿ (Kansas City)
Pomona, California,"152,361","149,058",+2.22%,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ / 34.0585; -117.7611﻿ (Pomona)
Escondido, California,"152,213","143,911",+5.77%,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ / 33.1331; -117.0740﻿ (Escondido)
Killeen, Texas,"149,103","127,921",+16.56%,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ / 31.0777; -97.7320﻿ (Killeen)
Naperville, Illinois,"148,304","141,853",+4.55%,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ / 41.7492; -88.1620﻿ (Naperville)
Joliet, Illinois,"148,099","147,433",+0.45%,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ / 41.5177; -88.1488﻿ (Joliet)
Bellevue, Washington,"147,599","122,363",+20.62%,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ / 47.5979; -122.1565﻿ (Bellevue)
Rockford, Illinois,"146,526","152,871",−4.15%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ / 42.2588; -89.0646﻿ (Rockford)
Savannah, Georgia,"145,862","136,286",+7.03%,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ / 32.0025; -81.1536﻿ (Savannah)
Paterson, New Jersey,"145,627","146,199",−0.39%,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ / 40.9148; -74.1628﻿ (Paterson)
Torrance, California,"145,182","145,438",−0.18%,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ / 33.8350; -118.3414﻿ (Torrance)
Bridgeport, Connecticut,"144,900","144,229",+0.47%,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ / 41.1874; -73.1958﻿ (Bridgeport)
McAllen, Texas,"143,433","129,877",+10.44%,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ / 26.2322; -98.2464﻿ (McAllen)
Mesquite, Texas,"142,816","139,824",+2.14%,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ / 32.7629; -96.5888﻿ (Mesquite)
Syracuse, New York,"142,749","145,170",−1.67%,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W﻿ / 43.0410; -76.1436﻿ (Syracuse)
Midland, Texas,"142,344","111,147",+28.07%,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W﻿ / 32.0246; -102.1135﻿ (Midland)
Pasadena, California,"141,371","137,122",+3.10%,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W﻿ / 34.1606; -118.1396﻿ (Pasadena)
Murfreesboro, Tennessee,"141,344","108,755",+29.97%,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W﻿ / 35.8522; -86.4160﻿ (Murfreesboro)
Miramar, Florida,"140,823","122,041",+15.39%,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W﻿ / 25.9770; -80.3358﻿ (Miramar)
Dayton, Ohio,"140,640","141,527",−0.63%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W﻿ / 39.7774; -84.1996﻿ (Dayton)
Fullerton, California,"139,640","135,161",+3.31%,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W﻿ / 33.8857; -117.9280﻿ (Fullerton)
Olathe, Kansas,"139,605","125,872",+10.91%,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W﻿ / 38.8843; -94.8195﻿ (Olathe)
Orange, California,"139,484","136,416",+2.25%,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W﻿ / 33.7870; -117.8613﻿ (Orange)
Thornton, Colorado,"139,436","118,772",+17.40%,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W﻿ / 39.9194; -104.9428﻿ (Thornton)
Roseville, California,"139,117","118,788",+17.11%,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2",38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W﻿ / 38.7690; -121.3189﻿ (Roseville)
Denton, Texas,"138,541","113,383",+22.19%,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2,33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W﻿ / 33.2166; -97.1414﻿ (Denton)
Waco, Texas,"138,183","124,805",+10.72%,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2,31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W﻿ / 31.5601; -97.1860﻿ (Waco)
Surprise, Arizona,"138,161","117,517",+17.57%,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2,33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W﻿ / 33.6706; -112.4527﻿ (Surprise)
Carrollton, Texas,"136,879","119,097",+14.93%,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2",32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W﻿ / 32.9884; -96.8998﻿ (Carrollton)
West Valley City, Utah,"136,401","129,480",+5.35%,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2",40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W﻿ / 40.6885; -112.0118﻿ (West Valley City)
Charleston, South Carolina,"136,208","120,083",+13.43%,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2,32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W﻿ / 32.8179; -79.9590﻿ (Charleston)
Warren, Michigan,"134,587","134,056",+0.40%,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2",42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W﻿ / 42.4929; -83.0250﻿ (Warren)
Hampton, Virginia,"134,313","137,436",−2.27%,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2",37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W﻿ / 37.0480; -76.2971﻿ (Hampton)
Gainesville, Florida,"133,857","124,354",+7.64%,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ / 29.6788; -82.3461﻿ (Gainesville)
Visalia, California,"133,800","124,442",+7.52%,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2",36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ / 36.3273; -119.3289﻿ (Visalia)
Coral Springs, Florida,"133,507","121,096",+10.25%,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2",26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ / 26.2707; -80.2593﻿ (Coral Springs)
Columbia, South Carolina,"133,451","129,272",+3.23%,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ / 34.0291; -80.8980﻿ (Columbia)
Cedar Rapids, Iowa,"133,174","126,326",+5.42%,70.8 sq mi,183.4 km2,"1,852/sq mi",715/km2,41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W﻿ / 41.9670; -91.6778﻿ (Cedar Rapids)
Sterling Heights, Michigan,"132,964","129,699",+2.52%,36.5 sq mi,94.5 km2,"3,628/sq mi","1,401/km2",42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W﻿ / 42.5812; -83.0303﻿ (Sterling Heights)
New Haven, Connecticut,"130,418","129,779",+0.49%,18.7 sq mi,48.4 km2,"6,948/sq mi","2,683/km2",41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W﻿ / 41.3108; -72.9250﻿ (New Haven)
Stamford, Connecticut,"129,775","122,643",+5.82%,37.6 sq mi,97.4 km2,"3,434/sq mi","1,326/km2",41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W﻿ / 41.0799; -73.5460﻿ (Stamford)
Concord, California,"129,688","122,067",+6.24%,30.5 sq mi,79.0 km2,"4,221/sq mi","1,630/km2",37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W﻿ / 37.9722; -122.0016﻿ (Concord)
Kent, Washington,"129,618","92,411",+40.26%,33.7 sq mi,87.3 km2,"3,784/sq mi","1,461/km2",47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W﻿ / 47.3880; -122.2127﻿ (Kent)
Santa Clara, California,"129,488","116,468",+11.18%,18.4 sq mi,47.7 km2,"6,845/sq mi","2,643/km2",37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W﻿ / 37.3646; -121.9679﻿ (Santa Clara)
Elizabeth, New Jersey,"128,885","124,969",+3.13%,12.3 sq mi,31.9 km2,"10,459/sq mi","4,038/km2",40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W﻿ / 40.6664; -74.1935﻿ (Elizabeth)
Round Rock, Texas,"128,739","99,887",+28.88%,35.6 sq mi,92.2 km2,"3,396/sq mi","1,311/km2",30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W﻿ / 30.5252; -97.6660﻿ (Round Rock)
Thousand Oaks, California,"127,690","126,683",+0.79%,55.2 sq mi,143.0 km2,"2,335/sq mi",902/km2,34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W﻿ / 34.1933; -118.8742﻿ (Thousand Oaks)
Lafayette, Louisiana,"126,143","120,623",+4.58%,53.8 sq mi,139.3 km2,"2,372/sq mi",916/km2,30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W﻿ / 30.2074; -92.0285﻿ (Lafayette)
Athens, Georgia,"125,964","115,452",+9.11%,116.4 sq mi,301.5 km2,"1,060/sq mi",410/km2,33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W﻿ / 33.9496; -83.3701﻿ (Athens)
Topeka, Kansas,"125,904","127,473",−1.23%,61.5 sq mi,159.3 km2,"2,062/sq mi",796/km2,39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W﻿ / 39.0347; -95.6962﻿ (Topeka)
Simi Valley, California,"125,851","124,237",+1.30%,41.5 sq mi,107.5 km2,"3,044/sq mi","1,175/km2",34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W﻿ / 34.2669; -118.7485﻿ (Simi Valley)
Fargo,  North Dakota,"124,844","105,549",+18.28%,49.3 sq mi,127.7 km2,"2,450/sq mi",950/km2,46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W﻿ / 46.8652; -96.8290﻿ (Fargo)
Norman, Oklahoma,"123,471","110,925",+11.31%,178.8 sq mi,463.1 km2,683/sq mi,264/km2,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W﻿ / 35.2406; -97.3453﻿ (Norman)
Columbia, Missouri,"123,180","108,500",+13.53%,65.0 sq mi,168.3 km2,"1,856/sq mi",717/km2,38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W﻿ / 38.951561; -92.328638﻿ (Columbia)
Abilene, Texas,"122,999","117,063",+5.07%,106.7 sq mi,276.4 km2,"1,146/sq mi",442/km2,32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W﻿ / 32.4545; -99.7381﻿ (Abilene)
Wilmington, North Carolina,"122,607","106,476",+15.15%,51.6 sq mi,133.6 km2,"2,278/sq mi",880/km2,34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W﻿ / 34.2092; -77.8858﻿ (Wilmington)
